43 0 0.0 西西西西北北北 无将 0.0
43 1 0.0 西西西西北北北 有将 0.0
44 0 0.0 西西西西北北北北 无将 0.0
44 1 0.0 西西西西北北北北 有将 0.0
4140 0 0.0 东东东东南西西西西 无将 0.0
4140 1 0.0 东东东东南西西西西 有将 0.0
4141 0 0.0 东东东东南西西西西北 无将 0.0
4141 1 0.0 东东东东南西西西西北 有将 0.0
4142 0 0.0 东东东东南西西西西北北 无将 0.0
4142 1 0.0 东东东东南西西西西北北 有将 0.0
4143 0 0.0 东东东东南西西西西北北北 无将 0.0
4143 1 0.0 东东东东南西西西西北北北 有将 0.0
3120 0 0.00784313725490196 东东东南西西 无将 0.00784313725490196
3120 1 0.0421865715983363 东东东南西西 有将 0.0421865715983363
4144 0 0.0 东东东东南西西西西北北北北 无将 0.0
4144 1 0.0 东东东东南西西西西北北北北 有将 0.0
3121 0 0.006191950464396284 东东东南西西北 无将 0.006191950464396284
3121 1 0.018575851393188854 东东东南西西北 有将 0.018575851393188854
3122 0 0.007352941176470588 东东东南西西北北 无将 0.007352941176470588
3122 1 0.025210084033613446 东东东南西西北北 有将 0.025210084033613446
3123 0 0.0106951871657754 东东东南西西北北北 无将 0.0106951871657754
3123 1 0.029411764705882353 东东东南西西北北北 有将 0.029411764705882353
2100 0 0.006191950464396284 东东南 无将 0.006191950464396284
2100 1 0.03529411764705882 东东南 有将 0.03529411764705882
3124 0 0.0 东东东南西西北北北北 无将 0.0
3124 1 0.0 东东东南西西北北北北 有将 0.0
2102 0 0.004524886877828054 东东南北北 无将 0.004524886877828054
2102 1 0.0196078431372549 东东南北北 有将 0.0196078431372549
2103 0 0.00784313725490196 东东南北北北 无将 0.00784313725490196
2103 1 0.0421865715983363 东东南北北北 有将 0.0421865715983363
2104 0 0.0 东东南北北北北 无将 0.0
2104 1 0.0 东东南北北北北 有将 0.0
3130 0 0.022549019607843137 东东东南西西西 无将 0.022549019607843137
3130 1 0.045098039215686274 东东东南西西西 有将 0.045098039215686274
3131 0 0.008403361344537815 东东东南西西西北 无将 0.008403361344537815
3131 1 0.0196078431372549 东东东南西西西北 有将 0.0196078431372549
3132 0 0.0106951871657754 东东东南西西西北北 无将 0.0106951871657754
3132 1 0.029411764705882353 东东东南西西西北北 有将 0.029411764705882353
3133 0 0.01680672268907563 东东东南西西西北北北 无将 0.01680672268907563
3133 1 0.029411764705882353 东东东南西西西北北北 有将 0.029411764705882353
2110 0 0.0031796502384737677 东东南西 无将 0.0031796502384737677
2110 1 0.012170385395537525 东东南西 有将 0.012170385395537525
3134 0 0.0 东东东南西西西北北北北 无将 0.0
3134 1 0.0 东东东南西西西北北北北 有将 0.0
2111 0 0.0 东东南西北 无将 0.0
2111 1 0.0 东东南西北 有将 0.0
2112 0 0.0 东东南西北北 无将 0.0
2112 1 0.01680672268907563 东东南西北北 有将 0.01680672268907563
2113 0 0.006191950464396284 东东南西北北北 无将 0.006191950464396284
2113 1 0.018575851393188854 东东南西北北北 有将 0.018575851393188854
2114 0 0.0 东东南西北北北北 无将 0.0
2114 1 0.0 东东南西北北北北 有将 0.0
3140 0 0.0 东东东南西西西西 无将 0.0
3140 1 0.0 东东东南西西西西 有将 0.0
3141 0 0.0 东东东南西西西西北 无将 0.0
3141 1 0.0 东东东南西西西西北 有将 0.0
3142 0 0.0 东东东南西西西西北北 无将 0.0
3142 1 0.0 东东东南西西西西北北 有将 0.0
3143 0 0.0 东东东南西西西西北北北 无将 0.0
3143 1 0.0 东东东南西西西西北北北 有将 0.0
2120 0 0.004524886877828054 东东南西西 无将 0.004524886877828054
2120 1 0.0196078431372549 东东南西西 有将 0.0196078431372549
3144 0 0.0 东东东南西西西西北北北北 无将 0.0
3144 1 0.0 东东东南西西西西北北北北 有将 0.0
2121 0 0.0 东东南西西北 无将 0.0
2121 1 0.01680672268907563 东东南西西北 有将 0.01680672268907563
2122 0 0.0053475935828877 东东南西西北北 无将 0.0053475935828877
2122 1 0.0213903743315508 东东南西西北北 有将 0.0213903743315508
2123 0 0.007352941176470588 东东南西西北北北 无将 0.007352941176470588
2123 1 0.025210084033613446 东东南西西北北北 有将 0.025210084033613446
1100 0 0.0035650623885918 东南 无将 0.0035650623885918
1100 1 0.011764705882352941 东南 有将 0.011764705882352941
2124 0 0.0 东东南西西北北北北 无将 0.0
2124 1 0.0 东东南西西北北北北 有将 0.0
1101 0 0.0 东南北 无将 0.0
1101 1 0.008207934336525308 东南北 有将 0.008207934336525308
1102 0 0.0031796502384737677 东南北北 无将 0.0031796502384737677
1102 1 0.012170385395537525 东南北北 有将 0.012170385395537525
1103 0 0.005115089514066496 东南北北北 无将 0.005115089514066496
1103 1 0.014705882352941176 东南北北北 有将 0.014705882352941176
1104 0 0.0 东南北北北北 无将 0.0
1104 1 0.0 东南北北北北 有将 0.0
2130 0 0.00784313725490196 东东南西西西 无将 0.00784313725490196
2130 1 0.0421865715983363 东东南西西西 有将 0.0421865715983363
2131 0 0.006191950464396284 东东南西西西北 无将 0.006191950464396284
2131 1 0.018575851393188854 东东南西西西北 有将 0.018575851393188854
2132 0 0.007352941176470588 东东南西西西北北 无将 0.007352941176470588
2132 1 0.025210084033613446 东东南西西西北北 有将 0.025210084033613446
2133 0 0.0106951871657754 东东南西西西北北北 无将 0.0106951871657754
2133 1 0.029411764705882353 东东南西西西北北北 有将 0.029411764705882353
1110 0 0.0 东南西 无将 0.0
1110 1 0.008207934336525308 东南西 有将 0.008207934336525308
2134 0 0.0 东东南西西西北北北北 无将 0.0
2134 1 0.0 东东南西西西北北北北 有将 0.0
1111 0 0.0 东南西北 无将 0.0
1111 1 0.0 东南西北 有将 0.0
1112 0 0.0 东南西北北 无将 0.0
1112 1 0.0 东南西北北 有将 0.0
1113 0 0.0 东南西北北北 无将 0.0
1113 1 0.014705882352941176 东南西北北北 有将 0.014705882352941176
1114 0 0.0 东南西北北北北 无将 0.0
1114 1 0.0 东南西北北北北 有将 0.0
2140 0 0.0 东东南西西西西 无将 0.0
